aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;SA;970551069;Dalbygda Vassverk Sa;987619910;Dalbygda Vassverk Sa;5054;Indre Fosen;Dalbygda Vassverk A/L V/Johan Arnt Kruksve;Z0704301335478741189KKTUE;Privat AS, BA, lag, stiftelse, statlig etc;171803;5054;Indre Fosen;ERROR [MAT_EJBOrgUnit];tilsynet;2019-03-18;Dalbygda og Leksvik;2025;23093.0;23093.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;220;220;82;8;70.0;1.0;0.0;0.0;25.0;0.0;4.0
ja;KOMM;964983003;Oppdal Kommune;988018988;Oppdal Kommune Vannverk;5021;Oppdal;Oppdal Sentrum Vannverk;Z0704301335488631189BCBSY;Kommunal etat/enhet;163402;5021;Oppdal;ERROR [MAT_EJBOrgUnit];tilsynet;2025-11-27;Oppdal sentrum og Driva;2025;721116.0;721116.0;3620.0;100.0;365.0;ja;nei;ja;ja;ja;ja;ja;ja;ja;nei;4345;7750;1980;789;40.0;12.0;8.0;8.0;2.0;0.0;30.0
nei;ENK;922629226;Wang C.O;971750855;Dnt Osbakken Kafe;3407;Gjøvik;Osbakken Kafé Og Pensjonat - Vannforsyning;Z0704301335490861190VQYWS;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2014-09-01;;2009;105.0;105.0;;;;ja;nei;nei;ja;nei;nei;ja;nei;nei;nei;2;100;2;0;;;;;;;
ja;KOMM;939898743;Røros Kommune;974563959;Vannverket I Røros;5025;Røros;Glåmos Vannverk;Z0704301335491361189SQOVI;Kommunal etat/enhet;164002;5025;Røros;ERROR [MAT_EJBOrgUnit];tilsynet;2024-08-14;Glåmos;2025;155326.0;155326.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;ja;nei;ja;ja;nei;300;380;110;39;30.0;10.0;25.0;12.0;3.0;0.0;20.0
ja;KOMM;970187715;Midtre Gauldal Kommune;974623110;Eiendom Og Kommunalteknikk Administrasjon;5027;Midtre Gauldal;Støren Vannverk;Z0704301335492561189GWSQB;Kommunal etat/enhet;164805;;;ERROR [MAT_EJBOrgUnit];tilsynet;2025-11-25;Støren sentrum og nærliggende bebyggelse;2025;547779.0;547779.0;0.0;100.0;365.0;ja;nei;ja;ja;ja;ja;ja;ja;ja;nei;2500;2600;835;0;35.0;0.0;15.0;10.0;0.0;0.0;40.0
nei;ENK;954705889;Toten Gjestegård Olav Gran;973393308;Toten Gjestegård Olav Gran;3442;Østre Toten;Toten Gjestegård - Vannforsyning;Z0704301335492721190KBGUG;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-03-14;Toten Gjestegård;2015;100.0;100.0;0.0;0.0;0.0;nei;ja;ja;ja;nei;nei;ja;nei;nei;nei;2;100;2;0;;;;;;;
ja;SA;970187618;Forsetmo Vassverk Sa;872465332;Forsetmo Vassverk Sa;5027;Midtre Gauldal;Forsetmo Vassverk;Z0704301335502511189NXXCJ;Kommunal etat/enhet;164802;5027;Midtre Gauldal;ERROR [MAT_EJBOrgUnit];tilsynet;2024-05-31;Bjørgen;2024;16425.0;16425.0;0.0;100.0;365.0;ja;nei;nei;ja;nei;ja;ja;nei;ja;nei;120;140;60;11;60.0;10.0;1.0;3.0;15.0;1.0;10.0
nei;AS;927437309;Fremo Vassverk As;972832944;Fremo Vassverk As;5028;Melhus;Fremo Vannverk;Z0704301335504301189XATUC;Kommunal etat/enhet;165314;5028;Melhus;ERROR [MAT_EJBOrgUnit];tilsynet;2017-08-29;Fremo;2020;140000.0;140000.0;0.0;;;ja;ja;nei;ja;nei;nei;nei;ja;ja;nei;650;650;233;7;62.0;1.0;0.0;0.0;3.0;0.0;34.0
ja;FLI;;;889077972;Igla Vannverk;5022;Rennebu;Igla Vannverk;Z0704301335506301189AOEVC;Privat AS, BA, lag, stiftelse, statlig etc;163511;;;ERROR [MAT_EJBOrgUnit];tilsynet;2025-12-10;Nordskogen;2025;5100.0;5100.0;0.0;100.0;2.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;20;120;6;25;;;;;;;
ja;SA;970547614;Singsås Vassverk Sa;982656966;Singsås Vassverk Sa;5027;Midtre Gauldal;Singsås Vassverk;Z0704301335516711189IRSPI;Privat AS, BA, lag, stiftelse, statlig etc;164803;5027;Midtre Gauldal;ERROR [MAT_EJBOrgUnit];tilsynet;2019-02-08;Singsås;2025;25550.0;25550.0;0.0;100.0;365.0;ja;nei;ja;ja;ja;nei;ja;nei;ja;nei;300;350;127;10;55.0;3.0;6.0;5.0;15.0;0.0;16.0
